BrandName,Deatils,Sizes,Womens_Category,MRP_,Discount_percent,SellPrice_
latin quarters,solid polyester womens regular blouse - wine,"Size:S,M,L,XL",Westernwear,1899.0,50.0,949.0
fratini,printed polyester blend round neck womens regular top - yellow,"Size:Medium,Small",Westernwear,999.0,50.0,499.0
zink london,embroidered viscose mandarin womens top - blue,"Size:Large,Medium,Small,X-Small,XX-Large",Westernwear,2199.0,40.0,1319.0
stop,solid regular neck cotton stretch womens formal shirt - bottle green,"Size:Large,Small,X-Large,XX-Large",Westernwear,999.0,50.0,499.0
rare,half sleeves regular fit womens casual dress - navy,"Size:Large,Medium,Small,X-Large",Westernwear,1999.0,55.0,899.0
latin quarters,printed polyester womens regular dress - red,"Size:S,M,L,XL,XX-Large",Westernwear,2799.0,30.0,1959.0
zink london,solid polyester round neck womens top - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,1499.0,40.0,899.0
stop,solid collar neck cotton blend womens regular top - peach,"Size:Large,X-Large,XX-Large",Westernwear,999.0,50.0,499.0
cover story,solid viscose collar neck womens top - peach,"Size:Small,X-Small",Westernwear,2290.0,30.0,1603.0
stop,printed regular neck cotton womens formal shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,799.0,50.0,399.0
zink london,printed cotton round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,799.0,40.0,479.0
zink london,floral rayon collar neck womens casual shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,1599.0,50.0,799.0
rare,floral georgette round neck womens flared dress - grey,"Size:Large,Medium,Small",Westernwear,1899.0,55.0,854.0
van heusen,super slim fit regular cotton womens jeans - navy,"Size:28,32,34",Westernwear,2199.0,55.0,999.0
life,printed cotton lycra round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,699.0,50.0,349.0
rare,solid polyester blend round neck womens a-line dress - black,"Size:Small,X-Large",Westernwear,1699.0,55.0,764.0
life,striped cotton blend collar neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,799.0,50.0,399.0
van heusen,textured polyester blend regular fit womens trousers - maroon,"Size:26,34",Westernwear,2199.0,55.0,999.0
madame,solid cotton round neck womens regular top - off white,"Size:Large,Medium,Small,X-Large",Westernwear,1199.0,50.0,599.0
fratini,printed viscose blend round neck womens t-shirt - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,2008.5116138398257,50.0,799.0
life,regular fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34,36",Westernwear,1299.0,50.0,649.0
van heusen,solid polyester collar neck womens formal shirt - off white,Size:X-Small,Westernwear,1699.0,41.0,999.0
rare,floral polyester round neck womens regular top - multi,"Size:Large,Medium,Small,X-Large",Westernwear,1299.0,55.0,584.0
life,solid polyester blend round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,999.0,50.0,499.0
only,stripes polyester round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1799.0,40.0,1079.0
infuse,graphic cotton round neck womens regular fit t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,499.0,60.0,199.0
and,solid boat neck polyester womens straight dresses - multi,"Size:6,8,10,12,14,16",Westernwear,2499.0,20.0,1999.0
rare,stripes polyester round neck womens regular top - navy,"Size:Large,Medium,Small,X-Large",Westernwear,1199.0,55.0,539.0
life,solid polyester blend round neck womens t-shirt - dusty pink,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,999.0,50.0,499.0
van heusen,solid polyester blend regular fit womens trousers - pink,Size:26,Westernwear,1499.0,47.0,799.0
zink london,solid polyester round neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,1599.0,40.0,959.0
fratini,printed v-neck viscose womens woven top - pink,"Size:Small,XX-Large",Westernwear,999.0,50.0,499.0
